ZipCode,Weighted 3 Year Average API,Median Home Price,Latitude,Longitude
90001,796.0,267100.0,33.974509999999995,-118.248392
90002,515.0,254500.0,33.949005,-118.245834
90003,621.0,279900.0,33.963746,-118.273905
90004,690.67,1094300.0,34.076131,-118.310856
90005,671.25,685100.0,34.060034,-118.31023
90007,776.67,491200.0,34.026540000000004,-118.283049
90008,682.0,548600.0,34.007973,-118.345638
90011,649.17,307400.0,34.009839,-118.258522
90012,767.5,408700.0,34.065923,-118.24070900000001
90015,763.0,571300.0,34.038621,-118.26721599999999
90016,533.5,431100.0,34.029603,-118.356803
90017,610.4,497200.0,34.052644,-118.26478999999999
90018,756.0,427700.0,34.027283000000004,-118.317633
90019,642.0,807000.0,34.049503,-118.339748
90022,708.0,336600.0,34.029398,-118.15336699999999
90023,742.0,316700.0,34.02421,-118.200065
90025,701.5,751100.0,34.046786,-118.44354399999999
90026,592.5,652100.0,34.076149,-118.26098799999998
90027,728.0,1163200.0,34.125733000000004,-118.288201
90028,643.33,653200.0,34.099971000000004,-118.327542
90031,658.25,404900.0,34.082038,-118.21763999999999
90032,693.0,376600.0,34.081295000000004,-118.180749
90033,639.33,340200.0,34.050079,-118.21141999999999
90034,652.0,847800.0,34.029463,-118.399381
90035,900.0,1059500.0,34.052182,-118.38523
90036,602.0,1300000.0,34.069146,-118.35090500000001
90037,649.67,348200.0,34.003659999999996,-118.28721999999999
90041,765.0,652000.0,34.133955,-118.204429
90042,673.75,513700.0,34.112393,-118.190312
90043,649.5,410600.0,33.985469,-118.337994
90044,655.0,300400.0,33.952345,-118.29581599999999
90045,754.0,815900.0,33.955871,-118.402697
90046,669.0,1121600.0,34.10726,-118.37173899999999
90047,578.67,328200.0,33.952782,-118.309463
90059,729.5,261500.0,33.920953999999995,-118.245269
90061,657.0,289900.0,33.920401,-118.27455800000001
90063,605.88,318500.0,34.045384000000006,-118.18741299999999
90064,771.0,1083800.0,34.035174,-118.42997700000001
90065,881.5,599100.0,34.10935,-118.227346
90066,669.5,986400.0,34.000252,-118.432493
90201,698.0,337700.0,33.967248,-118.167831
90212,868.0,1859400.0,34.060937,-118.402006
90220,592.0,269200.0,33.874966,-118.240426
90221,642.0,287900.0,33.877965,-118.203172
90222,572.0,257100.0,33.913529,-118.237597
90230,676.5,639800.0,33.997269,-118.397171
90241,708.67,488300.0,33.940488,-118.12564099999999
90242,632.0,414700.0,33.923194,-118.14013600000001
90245,780.5,846600.0,33.916565999999996,-118.40155
90250,700.5,467300.0,33.913119,-118.34606699999999
90254,647.0,1258900.0,33.864144,-118.39948799999999
90255,682.5,334400.0,33.977796999999995,-118.21337
90260,677.0,430300.0,33.887392999999996,-118.35028100000001
90262,602.5,304300.0,33.924493,-118.203223
90265,872.0,2423500.0,34.067484,-118.81761399999999
90266,912.0,1856800.0,33.89479,-118.40786000000001
90270,684.0,371400.0,33.988171,-118.186494
90272,845.0,2342000.0,34.078205,-118.541395
90274,778.33,1632700.0,33.773334999999996,-118.37420900000001
90277,711.5,918300.0,33.831188,-118.387689
90280,625.6,332800.0,33.938134999999996,-118.194061
90291,775.0,1373800.0,33.9932,-118.465398
